model,outlier_method,fold,train_score,validation_score
ExtraTreesRegressor,zscore,0,1.0,0.4416668497939271
ExtraTreesRegressor,zscore,1,1.0,0.5903315187342126
ExtraTreesRegressor,zscore,2,1.0,0.44218309076561524
ExtraTreesRegressor,zscore,3,1.0,0.4279935018573331
ExtraTreesRegressor,zscore,4,1.0,0.4030746177652583
ExtraTreesRegressor,zscore,5,1.0,0.48161419370273173
ExtraTreesRegressor,zscore,6,1.0,0.3833615283465689
ExtraTreesRegressor,zscore,7,1.0,0.5592820059933351
ExtraTreesRegressor,zscore,8,1.0,0.5265556051797582
ExtraTreesRegressor,zscore,9,1.0,0.4617497927604858
ExtraTreesRegressor,knn,0,1.0,0.36760717747287286
ExtraTreesRegressor,knn,1,1.0,0.5782079376400826
ExtraTreesRegressor,knn,2,1.0,0.4646228300646462
ExtraTreesRegressor,knn,3,1.0,0.4098342433143489
ExtraTreesRegressor,knn,4,1.0,0.3807395997676932
ExtraTreesRegressor,knn,5,1.0,0.3515309618065595
ExtraTreesRegressor,knn,6,1.0,0.4219185644832919
ExtraTreesRegressor,knn,7,1.0,0.4650399939084867
ExtraTreesRegressor,knn,8,1.0,0.48748056274791296
ExtraTreesRegressor,knn,9,1.0,0.4944280075816113
ExtraTreesRegressor,isolationForest,0,1.0,0.40863243302635865
ExtraTreesRegressor,isolationForest,1,1.0,0.5726966241716238
ExtraTreesRegressor,isolationForest,2,1.0,0.4468065456023761
ExtraTreesRegressor,isolationForest,3,1.0,0.48397207712976675
ExtraTreesRegressor,isolationForest,4,1.0,0.3920701971036187
ExtraTreesRegressor,isolationForest,5,1.0,0.49661911829414684
ExtraTreesRegressor,isolationForest,6,1.0,0.3865707784198392
ExtraTreesRegressor,isolationForest,7,1.0,0.5133046343474327
ExtraTreesRegressor,isolationForest,8,1.0,0.4867766790324436
ExtraTreesRegressor,isolationForest,9,1.0,0.4464793272971028
XGBRegressor,zscore,0,0.9497166300076136,0.48112790557482177
XGBRegressor,zscore,1,0.9453042453905185,0.5969455701165809
XGBRegressor,zscore,2,0.9468805111583637,0.5134304060559158
XGBRegressor,zscore,3,0.9488944913245422,0.45135028083935647
XGBRegressor,zscore,4,0.952136255289117,0.38060916352687224
XGBRegressor,zscore,5,0.9474121827087615,0.4576659509367659
XGBRegressor,zscore,6,0.9436265771187607,0.3838199435824897
XGBRegressor,zscore,7,0.9476844350767503,0.5999274552791639
XGBRegressor,zscore,8,0.9481369499954295,0.5425285022292253
XGBRegressor,zscore,9,0.9474526470367983,0.4793360468170693
XGBRegressor,knn,0,0.967703546969621,0.3328026460445006
XGBRegressor,knn,1,0.9619552434250018,0.6324298620987223
XGBRegressor,knn,2,0.9678799644486225,0.46946120121114865
XGBRegressor,knn,3,0.9690099209347945,0.44919100072343077
XGBRegressor,knn,4,0.9635678385555883,0.3309325278689871
XGBRegressor,knn,5,0.9681080916968025,0.3772759090846355
XGBRegressor,knn,6,0.9684845230333905,0.4498414824801704
XGBRegressor,knn,7,0.9636769037810857,0.4689689630267817
XGBRegressor,knn,8,0.9683021533852612,0.5565203005454997
XGBRegressor,knn,9,0.9607567849232272,0.5254257830084375
XGBRegressor,isolationForest,0,0.9462217056362014,0.4200055941221551
XGBRegressor,isolationForest,1,0.9434680851978672,0.6020620649064606
XGBRegressor,isolationForest,2,0.9517998332751026,0.5458035579647456
XGBRegressor,isolationForest,3,0.9501902452857858,0.4577685519013075
XGBRegressor,isolationForest,4,0.9546555534635962,0.3458212592224491
XGBRegressor,isolationForest,5,0.9471512577126012,0.5034064424367506
XGBRegressor,isolationForest,6,0.9447933130128251,0.40756652594699705
XGBRegressor,isolationForest,7,0.9448192542715709,0.5565544772304476
XGBRegressor,isolationForest,8,0.9447734731087496,0.5175217415978287
XGBRegressor,isolationForest,9,0.9500878288194069,0.4819710308659497
