iter	RMSE
0	8.926073834
1	8.890020392
2	8.866307885
3	8.840019382
4	8.816111459
5	8.78203072
6	8.755812431
7	8.728827858
8	8.697636946
9	8.672991027
10	8.645887425
11	8.613691414
12	8.583740724
13	8.549140993
14	8.520977276
15	8.487149164
16	8.461341586
17	8.430258431
18	8.399175125
19	8.382415819
20	8.349643126
21	8.320260964
22	8.296126043
23	8.269318524
24	8.24713201
25	8.221042823
26	8.197567663
27	8.170892168
28	8.140751384
29	8.110861284
30	8.081309383
31	8.055603443
32	8.026794176
33	8.00930828
34	7.987904986
35	7.963976535
36	7.938189126
37	7.91617029
38	7.888640885
39	7.859717646
40	7.834150601
41	7.806707708
42	7.785657034
43	7.762167888
44	7.737504538
45	7.711026998
46	7.686955974
47	7.661016913
48	7.635755453
49	7.609788894
50	7.587263746
51	7.563050623
52	7.537886599
53	7.515467262
54	7.492968756
55	7.472740432
56	7.453612768
57	7.432912626
58	7.40664622
59	7.389976658
60	7.370200996
61	7.346897157
62	7.324681211
63	7.300461205
64	7.283976033
65	7.259942424
66	7.237548691
67	7.217240902
68	7.20017253
69	7.179473794
70	7.161977566
71	7.140510623
72	7.120001143
73	7.10268311
74	7.084995354
75	7.070178319
76	7.051270472
77	7.031641476
78	7.012126878
79	6.991694149
80	6.974166233
81	6.95263733
82	6.933853303
83	6.912075896
84	6.894982233
85	6.876867467
86	6.858503283
87	6.838640433
88	6.817016982
89	6.802267683
90	6.783583723
91	6.766888147
92	6.745384586
93	6.72996569
94	6.707360334
95	6.693339587
96	6.676412302
97	6.659572103
98	6.641091353
99	6.621918033
100	6.605629717
101	6.586049389
102	6.566347678
103	6.54964381
104	6.531478842
105	6.513907406
106	6.494339996
107	6.475482283
108	6.461390141
109	6.444789767
110	6.428660692
111	6.411902922
112	6.404147197
113	6.390606432
114	6.371488581
115	6.355806648
116	6.34168695
117	6.328273259
118	6.31668741
119	6.303767079
120	6.287130696
121	6.272657265
122	6.256657014
123	6.240382469
124	6.222989608
125	6.203449741
126	6.188254964
127	6.170275295
128	6.153674744
129	6.136607208
130	6.120053241
131	6.105068097
132	6.088898332
133	6.076372318
134	6.063218598
135	6.050466358
136	6.034312191
137	6.020572516
138	6.006314094
139	5.990841842
140	5.980876506
141	5.968932425
142	5.950907503
143	5.93586198
144	5.922344678
145	5.906535537
146	5.895987773
147	5.887078007
148	5.869145132
149	5.853543578
150	5.84054642
151	5.826381466
152	5.809856739
153	5.797036286
154	5.780960543
155	5.766705995
156	5.755818846
157	5.739818773
158	5.731777619
159	5.716966969
160	5.705742778
161	5.690319581
162	5.678604842
163	5.665610193
164	5.654521527
165	5.641196894
166	5.6274904
167	5.618057708
168	5.611273367
169	5.596746818
170	5.586049596
171	5.572186264
172	5.561435137
173	5.553286286
174	5.539389591
175	5.529929292
176	5.520316882
177	5.509681045
178	5.500025658
179	5.488973607
180	5.477261571
181	5.466412347
182	5.453714931
183	5.440535963
184	5.430551685
185	5.417054875
186	5.406778064
187	5.396376245
188	5.383318376
189	5.373945793
190	5.360783119
191	5.350566503
192	5.339273531
193	5.329563976
194	5.319741577
195	5.311421902
196	5.297460344
197	5.287228652
198	5.27573472
199	5.265439886
200	5.252031778
201	5.240583535
202	5.231272136
203	5.216761725
204	5.206183231
205	5.195290499
206	5.184784227
207	5.171570191
208	5.16145549
209	5.152197462
210	5.140730302
211	5.13171287
212	5.121188037
213	5.111872237
214	5.101981494
215	5.090398007
216	5.081377899
217	5.071141766
218	5.06182856
219	5.050577239
220	5.042275247
221	5.033420694
222	5.024614314
223	5.012743891
224	5.004854929
225	4.998388588
226	4.989230505
227	4.979324778
228	4.967839642
229	4.958678437
230	4.949105052
231	4.937857758
232	4.931893191
233	4.921818064
234	4.915395419
235	4.906217551
236	4.898323463
237	4.892457371
238	4.883379353
239	4.874843844
240	4.864536667
241	4.857795812
242	4.849275441
243	4.841478368
244	4.8295303
245	4.822916081
246	4.813895404
247	4.806131375
248	4.799351231
249	4.790522679
250	4.784107337
251	4.776617367
252	4.768307722
253	4.75891708
254	4.749280496
255	4.741456055
256	4.732331101
257	4.721416511
258	4.713343203
259	4.705823711
260	4.698219266
261	4.69122847
262	4.683446674
263	4.676221858
264	4.666241784
265	4.657396439
266	4.649767752
267	4.643820235
268	4.63444035
269	4.626076688
270	4.618186911
271	4.612392896
272	4.605103888
273	4.594712854
274	4.586581516
275	4.578826888
276	4.56792389
277	4.561482597
278	4.553051534
279	4.546612063
280	4.538166616
281	4.530380239
282	4.523640612
283	4.516675848
284	4.511065852
285	4.503190661
286	4.491547171
287	4.486514832
288	4.479566245
289	4.47170749
290	4.465612899
291	4.461376632
292	4.456240283
293	4.449557136
294	4.442364166
295	4.436841652
296	4.431501003
297	4.426221014
298	4.421764188
299	4.414130317
300	4.40773699
301	4.402004346
302	4.396616195
303	4.390305548
304	4.38136697
305	4.374836191
306	4.368088909
307	4.361043136
308	4.355290117
309	4.351776492
310	4.345452606
311	4.337859228
312	4.330508464
313	4.32304181
314	4.314935868
315	4.307625312
316	4.30048626
317	4.292223634
318	4.287349505
319	4.281424674
320	4.275594907
321	4.268912594
322	4.263649651
323	4.255552762
324	4.250205485
325	4.242308521
326	4.236293876
327	4.231898927
328	4.226291493
329	4.220844297
330	4.212267977
331	4.20578731
332	4.201918356
333	4.194440359
334	4.187769897
335	4.183130331
336	4.177021461
337	4.170211175
338	4.164479966
339	4.158532713
340	4.154668321
341	4.149430532
342	4.142825253
343	4.136111416
344	4.1288941
345	4.123487924
346	4.117300958
347	4.109084761
348	4.105861821
349	4.099554216
350	4.093850354
351	4.08834021
352	4.083102009
353	4.078518964
354	4.072017465
355	4.063497617
356	4.058633764
357	4.054672969
358	4.05145025
359	4.043063647
360	4.03918974
361	4.031647164
362	4.026154946
363	4.018189734
364	4.012946497
365	4.00668019
366	4.002508945
367	3.994702802
368	3.988974708
369	3.984341359
370	3.977673468
371	3.971993247
372	3.965833988
373	3.95712392
374	3.95220119
375	3.945735742
376	3.93982066
377	3.936003976
378	3.932334256
379	3.927948835
380	3.920761138
381	3.915165275
382	3.909537967
383	3.902119002
384	3.897963129
385	3.893247558
386	3.886557126
387	3.883807363
388	3.879188812
389	3.873913224
390	3.868326905
391	3.862056412
392	3.856619386
393	3.850808411
394	3.845711546
395	3.840223644
396	3.835195272
397	3.831140452
398	3.827931942
399	3.821307588
400	3.815456563
401	3.809944971
402	3.804103043
403	3.799242732
404	3.795218983
405	3.79220559
406	3.786770605
407	3.782679894
408	3.777052136
409	3.772900406
410	3.766021933
411	3.759581506
412	3.754592743
413	3.748471104
414	3.742899077
415	3.737502216
416	3.731877458
417	3.727278293
418	3.72228917
419	3.718304543
420	3.71328877
421	3.709584712
422	3.704946474
423	3.699476048
424	3.694244507
425	3.689468609
426	3.684890973
427	3.680129369
428	3.676673518
429	3.671910329
430	3.666756426
431	3.661509644
432	3.656532825
433	3.652708871
434	3.647178139
435	3.641833937
436	3.639065501
437	3.632522707
438	3.627037752
439	3.62216316
440	3.617893886
441	3.615306447
442	3.611224387
443	3.606370573
444	3.603294761
445	3.599779151
446	3.593729986
447	3.589500562
448	3.587407328
449	3.583400242
450	3.57692896
451	3.575273057
452	3.570334251
453	3.565352616
454	3.560987159
455	3.556801586
456	3.553023974
457	3.5484972
458	3.544059866
459	3.537983031
460	3.53409919
461	3.528772928
462	3.522820556
463	3.518317736
464	3.513253368
465	3.508636838
466	3.503478457
467	3.500293886
468	3.494480639
469	3.489633977
470	3.483666093
471	3.478274458
472	3.474055439
473	3.469162051
474	3.463991877
475	3.459493804
476	3.455114747
477	3.450630314
478	3.446936046
479	3.44050676
480	3.435025071
481	3.430017402
482	3.42833506
483	3.42372041
484	3.417098402
485	3.412277581
486	3.407872434
487	3.401499865
488	3.396447986
489	3.393447475
490	3.389282983
491	3.385883184
492	3.381011029
493	3.376500622
494	3.372841771
495	3.367995557
496	3.363496143
497	3.360573514
498	3.35669292
499	3.353771096
500	3.347589055
501	3.344586459
502	3.339580146
503	3.333281786
504	3.326428684
505	3.322606009
506	3.319234051
507	3.313605672
508	3.309527622
509	3.307110924
510	3.302995688
511	3.297379464
512	3.293095512
513	3.289507121
514	3.286138029
515	3.282874435
516	3.27786309
517	3.274756846
518	3.271361879
519	3.268031453
520	3.264165746
521	3.259744319
522	3.254912875
523	3.253011665
524	3.248977265
525	3.246826837
526	3.239733789
527	3.235576505
528	3.230609465
529	3.228359254
530	3.22453458
531	3.222556158
532	3.218848648
533	3.214591234
534	3.211522228
535	3.206594972
536	3.20160774
537	3.197395894
538	3.193702137
539	3.189790416
540	3.18452062
541	3.181450769
542	3.176779363
543	3.172685124
544	3.168479764
545	3.163873265
546	3.160274883
547	3.156892616
548	3.153270779
549	3.148552981
550	3.143489354
551	3.139803533
552	3.137368746
553	3.1328146
554	3.130402044
555	3.126137463
556	3.122427988
557	3.119661992
558	3.116012462
559	3.111624735
560	3.107591859
561	3.10192111
562	3.098384076
563	3.094814573
564	3.089957361
565	3.087171262
566	3.083766833
567	3.080824279
568	3.078293229
569	3.074331723
570	3.071213506
571	3.069689125
572	3.064218174
573	3.061949973
574	3.059496798
575	3.055276539
576	3.050071794
577	3.047537809
578	3.044793763
579	3.042007856
580	3.038762656
581	3.034313639
582	3.031177027
583	3.027880001
584	3.023852774
585	3.019631013
586	3.016180708
587	3.012078839
588	3.009238908
589	3.004196462
590	3.000799638
591	2.997933066
592	2.994028604
593	2.990767188
594	2.986917765
595	2.983959238
596	2.98039649
597	2.977681754
598	2.974038615
599	2.971046663
600	2.968203135
601	2.965123585
602	2.962154872
603	2.959499175
604	2.95390664
605	2.951157016
606	2.948030129
607	2.945181389
608	2.942234368
609	2.938120342
610	2.932833745
611	2.929174219
612	2.925118175
613	2.921212062
614	2.916944979
615	2.91257502
616	2.908903668
617	2.906167058
618	2.903395589
619	2.89939925
620	2.896003941
621	2.890647324
622	2.886699775
623	2.884576678
624	2.880746549
625	2.877601025
626	2.87442485
627	2.87144543
628	2.86697255
629	2.864074023
630	2.859417273
631	2.8565236
632	2.853499745
633	2.847914687
634	2.843699685
635	2.840347396
636	2.836512386
637	2.834019187
638	2.830990025
639	2.827759388
640	2.824516842
