iter	Passed	Remaining
0	227	825686
1	296	536922
2	467	564408
3	546	495020
4	635	460240
5	696	420145
6	753	38938377	830	3754678	776	312018
9	852	308156
10	924	303885
1111	1125	339011212	1207	335613	13	1291	333111414	1366	329015	15	1431	322916	1421	301759
117	1543	309290118	1638	311019119	1736	31312722020	1883	323321	1852	303529
22	1961	307257
23	2066	310145
24	2134	307501
25	2194	303863
26	2304	307197
27	2361	303416
28	2428	301227
29	2491	298601
30	2587	300056
31	2655	298216
32	2714	295554
33	2785	294262
34	2829	290265
35	2944	293653
36	3003	291367
37	3130	295562
38	3196	294002
39	3297	295611
40	3345	292540
41	3418	291700
42	3491	290936
43	3550	289036
44	3635	289298
45	3702	288182
46	3767	286854
47	3865	288128
48	3918	286015
49	3972	284088
50	4034	282814
51	4127	283659
52	4223	284742
53	4275	282783
54	4352	282597
55	4463	284523
56	4545	284600
57	4628	284704
58	4755	287476
59	4847	288092
60	5009	292751
61	5055	290625
62	5114	289227
63	5214	290192
64	5325	291769
65	5414	292053
66	5474	290800
67	5562	291055
68	5604	288918
69	5650	287021
70	5704	285647
71	5785	285562
72	5842	284353
73	5875	282041
74	5941	281286
75	5999	280219
76	6051	278933
77	6083	276721
78	6130	275266
79	6181	273988
80	6234	272835
81	6271	271068
82	6316	269641
83	6375	268850
84	6445	268512
85	6494	267326
86	6548	266383
87	6580	264554
88	6637	263797
89	6700	263248
90	6767	262885
91	6828	262311
92	6882	261442
93	6915	259842
94	6972	259170
95	7042	258942
96	7101	258368
97	7151	257465
98	7191	256202
99	7241	255329
100	7275	253910
101	7318	252839
102	7369	252054
103	7424	251436
104	7481	250876
105	7540	250392
106	7592	249698
107	7660	249541
108	7712	248866
109	7801	249378
110	7867	249130
111	7918	248436
112	7963	247588
113	8020	247099
114	8053	245890
115	8090	244817
116	8127	243745
117	8178	243139
118	8234	242682
119	8268	241581
120	8304	240559
121	8336	239422
122	8377	238593
123	8410	237528
124	8448	236626
125	8496	236026
126	8530	235034
127	8580	234499
128	8629	233945
129	8654	232739
130	8689	231825
131	8737	231279
132	8779	230577
133	8812	229659
134	8838	228550
135	8871	227656
136	8903	226740
137	8937	225906
138	8972	225077
139	8994	223972
140	9021	222988
141	9056	222211
142	9102	221700
143	9144	221119
144	9177	220316
145	9223	219848
146	9257	219090
147	9294	218414
148	9325	217610
149	9363	216977
150	9407	216501
151	9457	216156
152	9508	215844
153	9554	215409
154	9592	214801
155	9631	214232
156	9672	213708
157	9718	213314
158	9753	212668
159	9797	212232
160	9838	211747
161	9888	211450
162	9926	210900
163	9979	210668
164	10003	209841
165	10046	209412
166	10081	208821
167	10129	208504
168	10172	208075
169	10213	207625
170	10249	207083
171	10285	206556
172	10335	206299
173	10368	205697
174	10402	205129
175	10454	204927
176	10493	204470
177	10528	203935
178	10567	203502
179	10594	202826
180	10639	202512
181	10668	201877
182	10693	201187
183	10717	200482
184	10766	200250
185	10796	199684
186	10841	199380
187	10888	199112
188	10930	198781
189	10972	198428
190	11004	197905
191	11043	197518
192	11078	197052
193	11116	196661
194	11158	196325
195	11191	195843
196	11225	195395
197	11261	194972
198	11288	194403
199	11318	193891
200	11364	193640
201	11405	193322
202	11434	192808
203	11480	192583
204	11510	192077
205	11554	191828
206	11590	191431
207	11626	191060
208	11661	190654
209	11694	190226
210	11733	189903
211	11782	189748
212	11824	189476
213	11853	188990
214	11883	188540
215	11920	188188
216	11971	188070
217	12016	187858
218	12050	187471
219	12081	187039
220	12122	186779
221	12144	186215
222	12197	186134
223	12248	186020
224	12283	185676
225	12315	185276
226	12350	184926
227	12389	184647
228	12425	184324
229	12469	184113
230	12515	183945
231	12550	183599
232	12584	183259
233	12613	182840
234	12651	182553
235	12692	182326
236	12734	182103
237	12774	181855
238	12812	181578
239	12852	181321
240	12888	181031
241	12930	180820
242	12965	180507
243	13000	180201
244	13041	179965
245	13073	179630
246	13108	179323
247	13149	179115
248	13191	178910
249	13226	178615
250	13265	178376
251	13300	178072
252	13341	177869
253	13376	177575
254	13408	177254
255	13443	176976
256	13486	176790
257	13527	176592
258	13563	176322
259	13611	176218
260	13644	175910
261	13688	175754
262	13733	175605
263	13773	175408
264	13830	175418
265	13877	175288
266	13920	175123
267	13966	175002
268	14003	174755
269	14040	174516
270	14073	174226
271	14102	173897
272	14142	173696
273	14178	173458
274	14206	173110
275	14261	173096
276	14302	172924
277	14347	172786
278	14385	172575
279	14421	172340
280	14454	172064
281	14488	171809
282	14527	171612
283	14550	171227
284	14590	171045
285	14636	170933
286	14676	170748
287	14712	170519
288	14765	170488
289	14804	170298
290	14848	170173
291	14892	170037
292	14928	169812
293	14957	169523
294	14992	169284
295	15042	169226
296	15082	169056
297	15121	168875
298	15156	168651
299	15194	168451
300	15226	168199
301	15256	167923
302	15290	167696
303	15333	167557
304	15371	167377
305	15412	167224
306	15459	167132
307	15499	166975
308	15530	166712
309	15565	166496
310	15597	166259
311	15635	166077
312	15671	165872
313	15713	165737
314	15758	165641
315	15800	165506
316	15841	165365
317	15878	165175
318	15918	165027
319	15953	164823
320	15995	164693
321	16029	164474
322	16070	164340
323	16106	164143
324	16135	163882
325	16166	163646
326	16214	163587
327	16250	163397
328	16285	163197
329	16319	163000
330	16356	162824
331	16382	162546
332	16431	162491
333	16463	162269
334	16490	162003
335	16554	162096
336	16587	161889
337	16621	161687
338	16651	161458
339	16688	161292
340	16730	161176
341	16768	161016
342	16794	160745
343	16831	160581
344	16869	160428
345	16924	160440
346	16954	160214
347	16989	160033
348	17031	159922
349	17084	159908
350	17115	159691
351	17149	159510
352	17194	159423
353	17226	159220
354	17265	159086
355	17305	158956
356	17344	158819
357	17377	158630
358	17411	158453
359	17437	158201
360	17471	158022
361	17508	157870
362	17545	157720
363	17589	157627
364	17620	157429
365	17659	157294
366	17691	157104
367	17726	156939
