id,y
0.0,83.0
1.0,75.0
2.0,76.0
3.0,65.0
4.0,71.0
5.0,48.0
6.0,69.0
7.0,82.0
8.0,96.0
9.0,79.0
10.0,92.0
11.0,73.0
12.0,46.0
13.0,56.0
14.0,64.0
15.0,67.0
16.0,72.0
17.0,56.0
18.0,67.0
19.0,63.0
20.0,64.0
21.0,45.0
22.0,81.0
23.0,44.0
24.0,69.0
25.0,71.0
26.0,75.0
27.0,48.0
28.0,50.0
29.0,86.0
30.0,75.0
31.0,76.0
32.0,55.0
33.0,55.0
34.0,80.0
35.0,49.0
36.0,73.0
37.0,75.0
38.0,65.0
39.0,54.0
40.0,90.0
41.0,39.0
42.0,69.0
43.0,61.0
44.0,35.0
45.0,57.0
46.0,59.0
47.0,52.0
48.0,60.0
49.0,90.0
50.0,77.0
51.0,67.0
52.0,65.0
53.0,63.0
54.0,69.0
55.0,74.0
56.0,60.0
57.0,72.0
58.0,70.0
59.0,59.0
60.0,88.0
61.0,68.0
62.0,71.0
63.0,60.0
64.0,74.0
65.0,80.0
66.0,84.0
67.0,45.0
68.0,71.0
69.0,77.0
70.0,62.0
71.0,60.0
72.0,87.0
73.0,57.0
74.0,58.0
75.0,52.0
76.0,43.0
77.0,72.0
78.0,61.0
79.0,83.0
80.0,56.0
81.0,61.0
82.0,70.0
83.0,63.0
84.0,69.0
85.0,69.0
86.0,53.0
87.0,74.0
88.0,52.0
89.0,77.0
90.0,71.0
91.0,57.0
92.0,72.0
93.0,86.0
94.0,53.0
95.0,53.0
96.0,64.0
97.0,55.0
98.0,67.0
99.0,50.0
100.0,73.0
101.0,54.0
102.0,49.0
103.0,62.0
104.0,58.0
105.0,72.0
106.0,80.0
107.0,61.0
108.0,45.0
109.0,80.0
110.0,81.0
111.0,71.0
112.0,80.0
113.0,64.0
114.0,71.0
115.0,49.0
116.0,67.0
117.0,59.0
118.0,46.0
119.0,61.0
120.0,59.0
121.0,48.0
122.0,95.0
123.0,65.0
124.0,69.0
125.0,79.0
126.0,63.0
127.0,94.0
128.0,52.0
129.0,80.0
130.0,85.0
131.0,55.0
132.0,84.0
133.0,65.0
134.0,68.0
135.0,94.0
136.0,55.0
137.0,92.0
138.0,66.0
139.0,77.0
140.0,84.0
141.0,76.0
142.0,91.0
143.0,57.0
144.0,73.0
145.0,63.0
146.0,53.0
147.0,72.0
148.0,85.0
