model,outlier_method,fold,train_score,validation_score
stacking,pca_isoforest,0,0.9228710916605531,0.6045098412940078
stacking,pca_isoforest,1,0.8938000915263511,0.6532637252014495
stacking,pca_isoforest,2,0.8664542122933393,0.6269132570338952
stacking,pca_isoforest,3,0.9046971093310262,0.6079117369031164
stacking,pca_isoforest,4,0.7837968183146875,0.5138013285062171
stacking,pca_isoforest,5,0.6338358700617033,0.5071335344901182
stacking,pca_isoforest,6,0.879805052390387,0.4704282969692001
stacking,pca_isoforest,7,0.8970234558102101,0.6748589943740286
stacking,pca_isoforest,8,0.8980577214243919,0.6066160720419276
stacking,pca_isoforest,9,0.8365315432228868,0.5365867910601765
