model,outlier_method,fold,train_score,validation_score
ExtraTreesRegressor,zscore,0,1.0,0.4604426887835885
ExtraTreesRegressor,zscore,1,1.0,0.6187459471978125
ExtraTreesRegressor,zscore,2,1.0,0.40157919808270137
ExtraTreesRegressor,zscore,3,1.0,0.4580371573089975
ExtraTreesRegressor,zscore,4,1.0,0.4385482452762215
ExtraTreesRegressor,zscore,5,1.0,0.49947552165139897
ExtraTreesRegressor,zscore,6,1.0,0.2689478983589033
ExtraTreesRegressor,zscore,7,1.0,0.5390047873604445
ExtraTreesRegressor,zscore,8,1.0,0.5243096911655086
ExtraTreesRegressor,zscore,9,1.0,0.4498187959238933
ExtraTreesRegressor,knn,0,1.0,0.39678368619894755
ExtraTreesRegressor,knn,1,1.0,0.6309345327045637
ExtraTreesRegressor,knn,2,1.0,0.4665210500296748
ExtraTreesRegressor,knn,3,1.0,0.408763813306277
ExtraTreesRegressor,knn,4,1.0,0.44770351410611575
ExtraTreesRegressor,knn,5,1.0,0.43675427951372825
ExtraTreesRegressor,knn,6,1.0,0.2421585644676193
ExtraTreesRegressor,knn,7,1.0,0.4909684100927225
ExtraTreesRegressor,knn,8,1.0,0.47552030787317556
ExtraTreesRegressor,knn,9,1.0,0.4787660915076708
ExtraTreesRegressor,isolationForest,0,1.0,0.45409448478903747
ExtraTreesRegressor,isolationForest,1,1.0,0.6128763068783802
ExtraTreesRegressor,isolationForest,2,1.0,0.45664644824704503
ExtraTreesRegressor,isolationForest,3,1.0,0.4068796828519964
ExtraTreesRegressor,isolationForest,4,1.0,0.442719913319751
ExtraTreesRegressor,isolationForest,5,1.0,0.503845465303222
ExtraTreesRegressor,isolationForest,6,1.0,0.3589170152292379
ExtraTreesRegressor,isolationForest,7,1.0,0.5676440261332611
ExtraTreesRegressor,isolationForest,8,1.0,0.5416382869196449
ExtraTreesRegressor,isolationForest,9,1.0,0.4801430729300814
XGBRegressor,zscore,0,0.8954778205022635,0.4582527756683108
XGBRegressor,zscore,1,0.9036419303879857,0.6092393467084052
XGBRegressor,zscore,2,0.8966041039433263,0.5780882446506266
XGBRegressor,zscore,3,0.9010382215197643,0.45449347023408415
XGBRegressor,zscore,4,0.9010003361751971,0.4425262097349848
XGBRegressor,zscore,5,0.8995378572656579,0.4529000860782002
XGBRegressor,zscore,6,0.8954334885816858,0.3453776434657245
XGBRegressor,zscore,7,0.8993903262478645,0.5770748200391618
XGBRegressor,zscore,8,0.8969600857065687,0.48213614736519594
XGBRegressor,zscore,9,0.9044271774282845,0.49076831870737503
XGBRegressor,knn,0,0.9313012165107892,0.3873383426721042
XGBRegressor,knn,1,0.9260911358493644,0.6354358001449587
