model,outlier_method,fold,train_score,validation_score
ExtraTreesRegressor,zscore,0,1.0,0.4602401946630651
ExtraTreesRegressor,zscore,1,1.0,0.6065478527423269
ExtraTreesRegressor,zscore,2,1.0,0.44021585896518034
ExtraTreesRegressor,zscore,3,1.0,0.47577285164132943
ExtraTreesRegressor,zscore,4,1.0,0.46080912922220696
ExtraTreesRegressor,zscore,5,1.0,0.4964115676811808
ExtraTreesRegressor,zscore,6,1.0,0.356280783215709
ExtraTreesRegressor,zscore,7,1.0,0.5794042840296365
ExtraTreesRegressor,zscore,8,1.0,0.5065419236872918
ExtraTreesRegressor,zscore,9,1.0,0.47978390624690426
ExtraTreesRegressor,knn,0,1.0,0.5149647766963162
ExtraTreesRegressor,knn,1,1.0,0.6338959178444556
ExtraTreesRegressor,knn,2,1.0,0.4360127306467022
ExtraTreesRegressor,knn,3,1.0,0.4733475203484463
ExtraTreesRegressor,knn,4,1.0,0.4518578676068674
ExtraTreesRegressor,knn,5,1.0,0.5111505473192253
ExtraTreesRegressor,knn,6,1.0,0.33383981363500304
ExtraTreesRegressor,knn,7,1.0,0.5632681202995775
ExtraTreesRegressor,knn,8,1.0,0.5164893892020606
ExtraTreesRegressor,knn,9,1.0,0.47734551879222553
ExtraTreesRegressor,isolationForest,0,1.0,0.48623114507171783
ExtraTreesRegressor,isolationForest,1,1.0,0.58785200168349
ExtraTreesRegressor,isolationForest,2,1.0,0.49542154339338407
ExtraTreesRegressor,isolationForest,3,1.0,0.47161274748867654
ExtraTreesRegressor,isolationForest,4,1.0,0.4414474024653091
ExtraTreesRegressor,isolationForest,5,1.0,0.49108447548633594
ExtraTreesRegressor,isolationForest,6,1.0,0.397900069508768
ExtraTreesRegressor,isolationForest,7,1.0,0.5778867908993237
ExtraTreesRegressor,isolationForest,8,1.0,0.479857936685541
ExtraTreesRegressor,isolationForest,9,1.0,0.45694902891975264
XGBRegressor,zscore,0,0.9148182612720308,0.4514303331121037
XGBRegressor,zscore,1,0.9054036862916351,0.5966932842259447
XGBRegressor,zscore,2,0.9025731843674714,0.5780739000923676
XGBRegressor,zscore,3,0.9118830923362774,0.4741389649035669
XGBRegressor,zscore,4,0.9079339736426297,0.46468264330887454
XGBRegressor,zscore,5,0.9118559609761302,0.46823067326734313
XGBRegressor,zscore,6,0.9113619248002334,0.357208970451255
XGBRegressor,zscore,7,0.9128614954607223,0.5929585262384567
XGBRegressor,zscore,8,0.9078566722987454,0.5285108563117329
XGBRegressor,zscore,9,0.9075045004959942,0.5298335775937049
XGBRegressor,knn,0,0.9087155925442398,0.43876143828680103
XGBRegressor,knn,1,0.911777391942947,0.6540234155176425
XGBRegressor,knn,2,0.8976382261443937,0.5225359263458274
XGBRegressor,knn,3,0.9134303983089672,0.5100449251307684
XGBRegressor,knn,4,0.9118858010188406,0.4628497731168082
XGBRegressor,knn,5,0.9115704874076824,0.4923470728160194
XGBRegressor,knn,6,0.9134778609801826,0.38679271835418116
XGBRegressor,knn,7,0.9116794550101398,0.5710628937645685
XGBRegressor,knn,8,0.9155338668247965,0.4994923944519065
XGBRegressor,knn,9,0.9083068840635837,0.5167916455804131
XGBRegressor,isolationForest,0,0.9183960842709555,0.4149386342579471
XGBRegressor,isolationForest,1,0.9130211199689173,0.6306393406547616
XGBRegressor,isolationForest,2,0.9113511945992526,0.6070650759308025
XGBRegressor,isolationForest,3,0.9184361951168759,0.476439120675445
XGBRegressor,isolationForest,4,0.9169948366999775,0.4413471426928436
XGBRegressor,isolationForest,5,0.9119615231881812,0.48407463131427164
XGBRegressor,isolationForest,6,0.9069594969913556,0.4041980868158058
XGBRegressor,isolationForest,7,0.908085340919866,0.5723397954256877
XGBRegressor,isolationForest,8,0.9115969794807696,0.5114454555469431
XGBRegressor,isolationForest,9,0.9121365733257359,0.4859350978588226
Ridge,zscore,0,0.48009921164960145,0.20542037676693592
Ridge,zscore,1,0.46427502118789044,0.49293626177788363
Ridge,zscore,2,0.466796507175119,0.43430394664106686
Ridge,zscore,3,0.4672996368881649,0.25984305044983025
Ridge,zscore,4,0.4920172912357945,0.25723189699204774
Ridge,zscore,5,0.5018713002242154,0.21711597911541936
Ridge,zscore,6,0.4789202872598243,0.312733510505274
Ridge,zscore,7,0.476942567718333,0.3929287979474788
Ridge,zscore,8,0.4713786590054635,0.38403433639797
Ridge,zscore,9,0.4684764118462593,0.4058277317638469
Ridge,knn,0,0.4710764315185564,0.2038467544266952
Ridge,knn,1,0.4550001449626012,0.44607017079337286
Ridge,knn,2,0.46380799841484754,0.4218754763049757
Ridge,knn,3,0.4865960887354742,0.25334217489778066
Ridge,knn,4,0.4962401722313592,0.29370208274418796
Ridge,knn,5,0.49925646591082173,0.10909904738841036
Ridge,knn,6,0.4857690830134549,0.23374792728554405
Ridge,knn,7,0.47619575397082103,0.33764091471851143
Ridge,knn,8,0.48243314649785096,0.39665162241987817
Ridge,knn,9,0.4753511237453264,0.3665917966025275
Ridge,isolationForest,0,0.48554130126450157,0.19025447238397986
Ridge,isolationForest,1,0.47524333989030976,0.49149488676372743
Ridge,isolationForest,2,0.5062442711261284,0.41281949337155865
Ridge,isolationForest,3,0.5154306342705437,0.25603100276620816
Ridge,isolationForest,4,0.512827833461414,0.26597439582379834
Ridge,isolationForest,5,0.5004168744880965,0.2010391205397457
